hitid	hittypeid	packageName	permission	purpose	comfortScore
2CPWGKCCVLL3SQ0IIL1PX4C93KV5VY	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.alaskajim.whosingsit1990s	READ_PHONE_STATE	TARGETED_ADS	-0.7647058823529411
2WGQS1CSTMOFD7A70M31LYDNETBQN7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.allocine.androidapp	ACCESS_FINE_LOCATION	INTERNAL	1.0
2WT0HFL42J1LEL5Q36YM7IGF1RA1MO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.allocine.androidapp	READ_PHONE_STATE	INTERNAL	0.7
2OIG5R98D8J3BU4BOWKN5CG33MHEUC	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.alpha_aps.naked_scanner	READ_PHONE_STATE	TARGETED_ADS	-0.35
2S4JTUHYW2GT5POP3WWWT169F2LPKB	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.alpha_aps.naked_scanner	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.9
302OLP89DZ7NW4GWB2PB8BR97TNCAE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.kindle	AUTHENTICATE_ACCOUNTS	UTILITY	1.75
3ZTE0JGGCESCY8AXLLUT96BEWAXCOJ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.kindle	MANAGE_ACCOUNTS	UTILITY	1.6666666666666667
3A3KKYU7P3HXC3VQPWFHTWTCTQUMWH	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.mp3	AUTHENTICATE_ACCOUNTS	UTILITY	0.8
2NPD1X3V0FK0S4HHFISMEPKKPFSLEW	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.androcheck.facedet	CAMERA	INTERNAL	0.36363636363636365
3D1UCPY6GG9L0GRYLBUWJHHK73R837	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.android.chrome	ACCESS_FINE_LOCATION	INTERNAL	-0.2
3L55D8AUFAXOSMEZR83RBX9G6V7CYN	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.android.chrome	MANAGE_ACCOUNTS	INTERNAL	1.3
