	index	learning_rate	loss	max_depth	max_features	n_estimators	subsample	testSize
196	0	0.5	ls	3	log2	50	1.0	7
197	0	0.5	lad	5	sqrt	100	1.0	3
198	0	0.1	quantile	3	sqrt	500	0.1	13
199	0	1.0	huber	5	sqrt	200	1.0	9
200	0	0.1	huber	5	sqrt	50	1.0	5
201	0	1.0	huber	3	sqrt	100	1.0	7
202	0	0.5	ls	1	log2	50	1.0	3
203	0	0.1	ls	3	sqrt	100	0.1	12
204	0	1.0	huber	5	auto	100	1.0	3
205	0	0.1	quantile	3	sqrt	200	0.1	7
206	0	0.5	lad	10	log2	500	1.0	9
207	0	0.1	ls	10	auto	200	0.5	5
208	0	0.1	ls	5	sqrt	50	0.1	7
209	0	0.1	ls	10	log2	200	0.5	3
210	0	0.1	lad	3	auto	200	0.1	12
211	0	0.5	huber	1	sqrt	50	0.1	3
212	0	0.1	quantile	3	sqrt	200	1.0	7
213	0	0.5	ls	1	auto	200	0.5	4
214	0	0.1	ls	3	sqrt	200	0.1	9
215	0	0.1	ls	3	log2	200	0.1	8
216	0	0.5	quantile	1	sqrt	200	1.0	4
217	0	0.1	lad	5	log2	500	0.5	13
218	0	0.5	huber	1	auto	50	0.5	3
219	0	0.1	lad	1	log2	100	1.0	7
220	0	0.5	quantile	3	sqrt	500	1.0	5
221	0	0.1	lad	10	sqrt	100	0.1	10
222	0	0.1	lad	5	auto	50	0.5	13
223	0	0.1	ls	5	auto	200	0.5	3
224	0	0.1	ls	5	log2	500	1.0	7
225	0	0.5	quantile	5	sqrt	500	1.0	3
226	0	1.0	huber	3	auto	200	0.1	5
227	0	0.1	quantile	10	log2	200	1.0	7
228	0	0.5	quantile	5	log2	200	1.0	7
229	0	0.1	huber	10	sqrt	200	0.1	10
230	0	0.5	quantile	5	sqrt	50	1.0	3
231	0	0.1	huber	1	log2	50	0.5	13
232	0	1.0	ls	10	log2	100	1.0	3
233	0	0.1	huber	1	log2	100	0.1	7
234	0	0.1	ls	10	log2	200	0.5	5
235	0	0.5	quantile	1	log2	500	1.0	3
236	0	0.1	ls	5	log2	50	0.1	7
237	0	0.5	huber	5	log2	500	1.0	9
238	0	0.5	huber	3	auto	100	0.1	3
239	0	0.1	lad	1	log2	200	0.5	12
240	0	0.1	quantile	10	sqrt	50	0.5	7
241	0	1.0	ls	1	log2	50	0.1	5
242	0	0.5	lad	1	sqrt	500	0.5	3
243	0	1.0	lad	1	sqrt	200	0.1	3
244	0	0.1	quantile	1	log2	500	0.5	7
245	0	0.1	huber	3	sqrt	500	0.1	9
246	0	0.1	ls	10	auto	500	0.1	8
247	0	0.5	ls	10	log2	200	1.0	12
248	0	0.1	quantile	3	auto	100	0.5	7
249	0	0.5	quantile	1	sqrt	50	1.0	4
250	0	1.0	huber	5	auto	200	0.1	3
251	0	0.5	huber	10	log2	200	1.0	4
252	0	0.1	quantile	3	sqrt	100	0.1	9
253	0	0.1	lad	3	log2	500	0.5	7
254	0	0.1	quantile	5	log2	500	0.5	7
255	0	0.1	lad	3	sqrt	50	0.5	3
256	0	0.5	huber	1	sqrt	100	0.1	3
257	0	0.1	ls	1	auto	50	0.1	13
258	0	0.5	ls	3	log2	50	1.0	5
259	0	0.1	lad	3	sqrt	200	1.0	7
260	0	0.1	lad	1	log2	200	0.1	10
261	0	1.0	quantile	5	log2	50	1.0	7
262	0	0.5	quantile	10	sqrt	100	1.0	3
263	0	0.5	lad	10	sqrt	500	1.0	3
264	0	0.1	quantile	10	auto	100	1.0	5
265	0	0.1	huber	10	sqrt	50	0.5	7
266	0	0.1	huber	3	sqrt	200	0.5	13
267	0	0.1	huber	10	sqrt	100	0.1	10
268	0	0.1	quantile	1	sqrt	500	0.5	7
269	0	0.5	huber	10	sqrt	50	0.1	3
270	0	0.5	lad	10	log2	500	1.0	3
271	0	1.0	huber	5	log2	50	1.0	5
272	0	0.5	lad	3	sqrt	100	1.0	7
273	0	0.1	quantile	10	log2	500	0.5	13
274	0	0.1	lad	10	log2	50	0.5	9
275	0	1.0	ls	3	log2	50	0.1	3
276	0	0.1	huber	3	auto	100	0.5	3
277	0	0.1	quantile	3	auto	100	0.1	7
278	0	0.1	huber	1	sqrt	200	0.1	5
279	0	0.1	quantile	10	log2	500	0.5	12
280	0	0.5	ls	10	sqrt	100	1.0	8
281	0	1.0	quantile	10	sqrt	200	0.1	3
282	0	1.0	huber	10	log2	200	0.5	4
283	0	0.1	huber	1	auto	200	0.1	9
284	0	0.1	quantile	10	sqrt	500	0.5	12
285	0	0.1	quantile	5	log2	100	0.1	7
286	0	0.5	ls	10	sqrt	50	1.0	4
287	0	1.0	lad	10	log2	500	1.0	7
288	0	0.1	quantile	5	log2	200	1.0	13
289	0	1.0	lad	10	auto	50	0.1	3
290	0	1.0	lad	10	log2	50	0.5	3
291	0	0.1	huber	1	auto	50	0.1	9
292	0	0.5	ls	1	sqrt	100	1.0	7
293	0	0.5	quantile	5	log2	100	0.1	5
294	0	0.1	lad	3	auto	500	0.5	7
295	0	0.5	lad	5	auto	500	0.5	3
296	0	0.5	lad	1	sqrt	100	1.0	13
297	0	0.5	ls	3	sqrt	50	0.5	3
298	0	0.5	quantile	3	log2	500	1.0	7
299	0	0.5	ls	10	auto	50	1.0	5
