	permission	purpose	packageName	count
303	READ_PHONE_STATE	TARGETED_ADS	com.outfit7.talkinggina	20
304	READ_PHONE_STATE	TARGETED_ADS	com.outfit7.talkingpierrefree	20
305	READ_PHONE_STATE	TARGETED_ADS	com.outfit7.tomlovesangelafree	20
278	READ_PHONE_STATE	TARGETED_ADS	com.gamevil.cartoonwars.one.global	20
277	READ_PHONE_STATE	TARGETED_ADS	com.gamelion.ck	20
306	READ_PHONE_STATE	TARGETED_ADS	com.pallosalama.dice.free	20
274	READ_PHONE_STATE	TARGETED_ADS	com.gameinsight.funnylovetest	20
324	READ_PHONE_STATE	TARGETED_ADS	com.tgb.kingkong	20
254	READ_PHONE_STATE	TARGETED_ADS	com.dogsbestlivewallpaper.dogs	20
241	READ_PHONE_STATE	TARGETED_ADS	com.appmox.jgirl	20
347	READ_PHONE_STATE	TARGETED_ADS	pl.chrsoft.colorballs	20
232	READ_PHONE_STATE	TARGETED_ADS	atticlab.whip	20
331	READ_PHONE_STATE	TARGETED_ADS	com.uken.android.thestreetz	20
240	READ_PHONE_STATE	TARGETED_ADS	com.appmania.ironwars.hd	20
345	READ_PHONE_STATE	TARGETED_ADS	nl.ejsoft.mortalskies2Free	20
332	READ_PHONE_STATE	TARGETED_ADS	com.uken.android.villains	20
238	READ_PHONE_STATE	TARGETED_ADS	com.androp.cube.dolphin	20
237	READ_PHONE_STATE	TARGETED_ADS	com.alpha_aps.naked_scanner	20
344	READ_PHONE_STATE	TARGETED_ADS	net.tsunamisoft.fanmusic	20
333	READ_PHONE_STATE	TARGETED_ADS	com.visva.paintshop	20
335	READ_PHONE_STATE	TARGETED_ADS	com.westriversw.MushroomWar	20
235	READ_PHONE_STATE	TARGETED_ADS	com.Conquer3.Kingdoms.game.good.haha	20
336	READ_PHONE_STATE	TARGETED_ADS	com.westriversw.SvsM2	20
343	READ_PHONE_STATE	TARGETED_ADS	net.sjang.sail	20
338	READ_PHONE_STATE	TARGETED_ADS	game.destiniaeng	20
342	READ_PHONE_STATE	TARGETED_ADS	mominis.Generic_Android.Katoombaa_Kitchen_Chaos	20
233	READ_PHONE_STATE	TARGETED_ADS	br.com.jera.vikings	20
340	READ_PHONE_STATE	TARGETED_ADS	it.sunsea.cartonianimati	20
346	READ_PHONE_STATE	TARGETED_ADS	org.invictus.froggyjumpx	20
231	READ_PHONE_STATE	TARGETED_ADS	atticlab.ScaryMazedGame	20
242	READ_PHONE_STATE	TARGETED_ADS	com.artofbytes.gravedefence.hd.free	20
354	RECORD_AUDIO	INTERNAL	com.readingbee.studiofreeaudiobooks	20
330	READ_PHONE_STATE	TARGETED_ADS	com.uken.android.novawars	20
243	READ_PHONE_STATE	TARGETED_ADS	com.berobo.android.scanner	20
328	READ_PHONE_STATE	TARGETED_ADS	com.uken.android.ageoflegends	20
245	READ_PHONE_STATE	TARGETED_ADS	com.bodyfitness.health.bnht	20
329	READ_PHONE_STATE	TARGETED_ADS	com.uken.android.forcesofwar	20
246	READ_PHONE_STATE	TARGETED_ADS	com.codemonkey.titanturret	20
349	READ_PHONE_STATE	TARGETED_ADS	smartteam.fishingmaster.lite.en	20
228	READ_PHONE_STATE	MOBILE_ANALYTICS	net.tsunamisoft.fanmusic	20
84	GET_ACCOUNTS	INTERNAL	com.asobimo.celes_gp_en	19
80	GET_ACCOUNTS	INTERNAL	ar.com.ps3argentina.trophies	19
353	RECORD_AUDIO	INTERNAL	com.pedrocorp.android.guitar	19
351	READ_PHONE_STATE	TARGETED_ADS	talking.toy.teddy.bear	19
350	READ_PHONE_STATE	TARGETED_ADS	sts.dl	19
101	READ_PHONE_STATE	INTERNAL	au.com.nab.mobile	19
348	READ_PHONE_STATE	TARGETED_ADS	ru.aeradev.games.clumpsball	19
299	READ_PHONE_STATE	TARGETED_ADS	com.morisoft.AndroidFreeGamENG.AOD	19
296	READ_PHONE_STATE	TARGETED_ADS	com.mirasoftapps.nudescanner	19
87	GET_ACCOUNTS	INTERNAL	com.gameinsight.kingdom	19
8	ACCESS_FINE_LOCATION	INTERNAL	com.fontaines	19
301	READ_PHONE_STATE	TARGETED_ADS	com.myxer.android	19
89	GET_ACCOUNTS	INTERNAL	com.gotow.hexdefensefree	19
92	GET_ACCOUNTS	INTERNAL	com.pigeon.happybdaycakelite	19
94	GET_ACCOUNTS	INTERNAL	com.silvertree.cordysky	19
327	READ_PHONE_STATE	TARGETED_ADS	com.trickybanana.sounds.neod	19
75	CAMERA	INTERNAL	com.project_x.ARShooting	19
79	CAMERA	TARGETED_ADS	com.outfit7.tomlovesangelafree	19
339	READ_PHONE_STATE	TARGETED_ADS	goodteamstudio.defence.lite.en	19
41	ACCESS_FINE_LOCATION	TARGETED_ADS	com.berobo.android.scanner	19
42	ACCESS_FINE_LOCATION	TARGETED_ADS	com.breakapps.breakdotcom	19
325	READ_PHONE_STATE	TARGETED_ADS	com.tgb.nationsatwar	19
45	ACCESS_FINE_LOCATION	TARGETED_ADS	com.duckygo.shoottheducks	19
322	READ_PHONE_STATE	TARGETED_ADS	com.teamandroid.game	19
52	ACCESS_FINE_LOCATION	TARGETED_ADS	com.mobage.ww.a692.Bahamut_Android	19
321	READ_PHONE_STATE	TARGETED_ADS	com.teachersparadise.groovyscratchdraw	19
55	ACCESS_FINE_LOCATION	TARGETED_ADS	com.myxer.android	19
57	ACCESS_FINE_LOCATION	TARGETED_ADS	com.roboconn.snipetrial	19
34	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.thechive	19
62	ACCESS_FINE_LOCATION	TARGETED_ADS	com.thechive	19
31	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.myxer.android	19
63	ACCESS_FINE_LOCATION	TARGETED_ADS	ez.android.myguns	19
315	READ_PHONE_STATE	TARGETED_ADS	com.smartanuj.jokes	19
66	ACCESS_FINE_LOCATION	TARGETED_ADS	jiangyou4.wallpaper.japan4	19
313	READ_PHONE_STATE	TARGETED_ADS	com.romanempire	19
312	READ_PHONE_STATE	TARGETED_ADS	com.roguerocketgames.sushichop	19
29	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.mobage.ww.a448.TouchHockey_android	19
28	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	com.menueph.entertainment.russianroulette	19
73	CAMERA	INTERNAL	com.insasofttech.GhostCam	19
38	ACCESS_FINE_LOCATION	SOCIAL_GAMING	com.Ama.PanicFlightFree	19
77	CAMERA	INTERNAL	com.x3anywhere	19
18	ACCESS_FINE_LOCATION	INTERNAL	jp.kmkz.android.wifimap	19
291	READ_PHONE_STATE	TARGETED_ADS	com.lily.times.rabbit1.all	19
0	ACCESS_COARSE_LOCATION	TARGETED_ADS	jiangyou4.wallpaper.japan4	19
171	READ_PHONE_STATE	INTERNAL	com.smartanuj.jokes	19
156	READ_PHONE_STATE	INTERNAL	com.mobileroadie.TaylorSwift	19
252	READ_PHONE_STATE	TARGETED_ADS	com.darksummoner	19
140	READ_PHONE_STATE	INTERNAL	com.gameforge.xmobile.war	19
239	READ_PHONE_STATE	TARGETED_ADS	com.animoca.prettyPetSalonSeasons	19
144	READ_PHONE_STATE	INTERNAL	com.gamevil.cartoonwars.one.global	19
192	READ_PHONE_STATE	INTERNAL	heinrisch.throwa.pandaad	19
266	READ_PHONE_STATE	TARGETED_ADS	com.fingersoft.nightvisioncamera	19
188	READ_PHONE_STATE	INTERNAL	com.westriversw.svsm	19
357	RECORD_AUDIO	INTERNAL	net.maicas.android.idiotizer	19
152	READ_PHONE_STATE	INTERNAL	com.mangolee.fail.wtf.sexy.girl.wired.funny	19
178	READ_PHONE_STATE	INTERNAL	com.uken.android.ageoflegends	19
249	READ_PHONE_STATE	TARGETED_ADS	com.com2us.inotia3.normal.freefull.google.global.android.common	19
199	READ_PHONE_STATE	INTERNAL	pl.wp.programtv	19
260	READ_PHONE_STATE	TARGETED_ADS	com.er.scary	19
159	READ_PHONE_STATE	INTERNAL	com.myxer.android	19
162	READ_PHONE_STATE	INTERNAL	com.outfit7.tomlovesangelafree	19
257	READ_PHONE_STATE	TARGETED_ADS	com.droidhen.game.speedhiker	19
253	READ_PHONE_STATE	TARGETED_ADS	com.dedalord.runningfred	19
175	READ_PHONE_STATE	INTERNAL	com.tgb.nationsatwar	19
168	READ_PHONE_STATE	INTERNAL	com.roguerocketgames.sushichop	19
