permission	purpose	packageName	count
READ_PHONE_STATE	INTERNAL	br.com.jera.vikings	20
READ_PHONE_STATE	INTERNAL	com.asobimo.celes_gp_en	20
READ_PHONE_STATE	INTERNAL	by.istin.android.kinobaza	20
READ_PHONE_STATE	INTERNAL	com.HBO	20
READ_PHONE_STATE	INTERNAL	com.codemonkey.titanturret	20
READ_PHONE_STATE	INTERNAL	com.NextFloor.DragonFlightKakao	20
READ_PHONE_STATE	INTERNAL	com.UCMobile.intl	20
READ_PHONE_STATE	INTERNAL	com.com2us.caligofree	20
READ_PHONE_STATE	INTERNAL	com.allocine.androidapp	20
READ_PHONE_STATE	INTERNAL	com.darksummoner	20
READ_PHONE_STATE	INTERNAL	com.antivirus	20
SEND_SMS	PAYMENT	com.badoo.mobile	20
READ_CONTACTS	INTERNAL	com.twitter.android	20
READ_CONTACTS	INTERNAL	com.yahoo.mobile.client.android.mail	20
GET_ACCOUNTS	TARGETED_ADS	com.mobage.ww.a448.TouchHockey_android	20
READ_CONTACTS	INTERNAL	com.avast.android.mobilesecurity	20
READ_CONTACTS	INTERNAL	com.antivirus	20
MANAGE_ACCOUNTS	INTERNAL	com.yahoo.mobile.client.android.mail	20
MANAGE_ACCOUNTS	INTERNAL	com.facebook.katana	20
MANAGE_ACCOUNTS	INTERNAL	com.evernote	20
MANAGE_ACCOUNTS	INTERNAL	com.android.chrome	20
GET_ACCOUNTS	SNS	com.jb.gosms	20
READ_CONTACTS	INTERNAL	com.whatsapp	20
GET_ACCOUNTS	SECONDARY_MARKET	com.creativemobile.DragRacing	20
GET_ACCOUNTS	INTERNAL	org.mozilla.firefox	20
GET_ACCOUNTS	INTERNAL	com.zynga.words	20
GET_ACCOUNTS	INTERNAL	com.yahoo.mobile.client.android.mail	20
GET_ACCOUNTS	INTERNAL	com.wooga.diamonddash	20
GET_ACCOUNTS	INTERNAL	com.whatsapp	20
READ_CONTACTS	INTERNAL	com.badoo.mobile	20
READ_CONTACTS	INTERNAL	com.bbm	20
READ_CONTACTS	INTERNAL	com.evernote	20
READ_CONTACTS	INTERNAL	com.facebook.katana	20
READ_CONTACTS	INTERNAL	com.facebook.orca	20
READ_CONTACTS	INTERNAL	com.gau.go.launcherex	20
READ_CONTACTS	INTERNAL	com.google.android.apps.docs	20
READ_CONTACTS	INTERNAL	com.google.android.apps.plus	20
READ_CONTACTS	INTERNAL	com.google.android.gm	20
READ_CONTACTS	INTERNAL	com.google.android.maps.mytracks	20
READ_CONTACTS	INTERNAL	com.google.android.talk	20
READ_CONTACTS	INTERNAL	com.jb.gosms	20
READ_CONTACTS	INTERNAL	com.qihoo.security	20
READ_CONTACTS	INTERNAL	com.tencent.mm	20
READ_PHONE_STATE	INTERNAL	com.droidhen.game.fishpredator	20
READ_CONTACTS	INTERNAL	com.viber.voip	20
READ_CONTACTS	INTERNAL	com.vkontakte.android	20
READ_PHONE_STATE	INTERNAL	com.dianxinos.dxbs	20
READ_PHONE_STATE	INTERNAL	com.feelingtouch.dragon.ice	20
READ_PHONE_STATE	INTERNAL	com.easy.battery.saver	20
READ_PHONE_STATE	INTERNAL	com.tapjoy.tapdefense	20
READ_PHONE_STATE	INTERNAL	com.outfit7.talkingtom2free	20
READ_PHONE_STATE	INTERNAL	com.paladin.GunStrike	20
READ_PHONE_STATE	INTERNAL	com.pigeon.happybdaycakelite	20
READ_PHONE_STATE	INTERNAL	com.qihoo.security	20
READ_PHONE_STATE	INTERNAL	com.rixment.game.rocketcraze	20
READ_PHONE_STATE	INTERNAL	com.rovio.angrybirdsrio	20
READ_PHONE_STATE	INTERNAL	com.rovio.angrybirdsspace.ads	20
READ_PHONE_STATE	INTERNAL	com.seventeenbullets.android.island	20
READ_PHONE_STATE	INTERNAL	com.sgiggle.production	20
READ_PHONE_STATE	INTERNAL	com.storybird.spacebusterlite	20
READ_PHONE_STATE	INTERNAL	com.supercell.clashofclans	20
READ_PHONE_STATE	INTERNAL	com.supercell.hayday	20
