hitid	hittypeid	workerid	packageName	permission	purpose	comfortScore
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2OCP3UDPBH0ME	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1JT53BJT9J5HU	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1JRV4XD6CG12W	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2IYAOQ0BY5EYD	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2I2YRPU8ZFDFK	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1U43ACI9M84MZ	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2S96ZZ70YFPSK	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	2
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1PVTLZ5V590EP	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	-1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AAXYYH9MI3PJM	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	1
2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AN1H7SQKQSWS3	com.com2us.inotia3.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	1
