workerid	packageName	permission	purpose	label	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS	userID	appID	permissionID
AL49DDQNUF01M	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.741935483871	-0.6	0.111111111111	-0.428571428571	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.20786516854	-0.55	-0.0950006560819
A3JJXEVEPU8V9J	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.231707317073	-0.828571428571	0.846153846154	-0.6	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.283105022831	-0.55	-0.0950006560819
AZF0WGPL5SL76	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.684210526316	-0.333333333333	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.14814814815	-0.55	-0.0950006560819
A31FLXZMDXZTB2	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	1	-0.466666666667	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.636363636364	-0.55	-0.0950006560819
A4SKTCPDTV550	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	0.626865671642	0.724137931034	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775280898876	-0.55	-0.0950006560819
A3AJR1PM02424Y	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	1	0.823529411765	0.833333333333	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19230769231	-0.55	-0.0950006560819
A2IYAOQ0BY5EYD	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.544827586207	-0.931034482759	-1.0	-0.333333333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.803191489362	-0.55	-0.0950006560819
A24WQPX0B1A05J	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.4	-1.0	-1.0	1.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.47619047619	-0.55	-0.0950006560819
AAQ4Q3ULMAF5H	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.0666666666667	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	-0.55	-0.0950006560819
A1CGUFW3R6M234	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	1	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.98165137615	-0.55	-0.0950006560819
A3RYH6OUH7BJ4Z	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.692307692308	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.96875	-0.55	-0.0950006560819
A11ZTQS8VDEJK0	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	1	1.0	-0.333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	-0.55	-0.0950006560819
A3PN5FA5Z10N83	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.777777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.777777777778	-0.55	-0.0950006560819
A1KX496A3GINRN	com.dreamcortex.talkingPet_android	READ_PHONE_STATE	TARGETED_ADS	0	-0.245283018868	-0.375	1.0	1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.0131578947368	-0.55	-0.0950006560819
