workerid	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS
A1YKURJBPE81KR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AALHA10KJZX0O	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A25GWJDNTW3D48	-1.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0
AIUKV0KVALMY6	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A7GC7HT9VLRZE	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2RWYKSCTPWP1A	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A2OCP3UDPBH0ME	0.720930232558	1.0	-0.5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ACK6EXCD91X2	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2SV243JDONKOA	0.5	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AP6FR5CEIV606	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A186CM5SYWP10Y	-0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1SE65F2EN67HH	-1.0	1.0	1.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0
A2ML40J7NKUQ5D	-0.739130434783	-0.5	1.0	0.0	-1.0	-1.0	1.0	0.2	0.0	0.0	0.0
A3SKQVTDNNK58B	-0.166666666667	0.5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AN1H7SQKQSWS3	0.575757575758	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2T8XWDGOGHMN4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A33OQJ5NRKXQU3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A3HLCR4YCHJWBI	0.939393939394	1.0	0.925925925926	1.0	0.913043478261	0.714285714286	1.0	1.0	1.0	1.0	1.0
