	hitid	hittypeid	packageName	permission	purpose	comfortScore	category
23	2VYDHDM25L8IP3WB2L5ZDOE4763PF8	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	GET_ACCOUNTS	INTERNAL	0.4705882352941176	ARCADE
24	2YDWAVKI62NJ6IYMY309XH6B1V7RJ4	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Ama.PanicFlightFree	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.05	ARCADE
25	2DKGTP9RA7S5C2YL52JOM70J3RGWR4	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Conquer3.Kingdoms.game.good.haha	READ_PHONE_STATE	TARGETED_ADS	-0.4	ARCADE
26	2OMJ79KQW6183K39TJ3DB5XCV3JJL7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Conquer3.Kingdoms.game.good.haha	GET_ACCOUNTS	INTERNAL	0.5	ARCADE
27	2P0UB2YU98JH89IQZPRFIJ9I5LFMAW	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.Conquer3.Kingdoms.game.good.haha	READ_PHONE_STATE	INTERNAL	0.3333333333333333	ARCADE
28	3O71U79SRBP45MEH5R5GW7QRND3MS7	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.GnarlyGames.GnarBikeTrials	ACCESS_COARSE_LOCATION	PAYMENT	-0.8947368421052632	RACING
29	2LW6AUBXHWSHNVIO5Z2Z3DRLEF63ZZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.HBO	READ_PHONE_STATE	INTERNAL	1.15	ENTERTAINMENT
30	3Y7LTZE0YTMKJ6549LQAJA4OJPHZUA	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.NextFloor.DragonFlightKakao	READ_PHONE_STATE	INTERNAL	-0.65	ARCADE
31	3LAZVA75NIRZ0QIVOS5NXT2SKJK2O0	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.SnowfallLiveWallpapers	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.8947368421052632	PERSONALIZATION
32	30U1YOGZGAW11S84SY6DDH3XAAMSDO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	CAMERA	INTERNAL	1.25	COMMUNICATION
33	39HYCOOPKOLY3XVZ81AR184RH9XDM1	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_COARSE_LOCATION	SNS	0.4	COMMUNICATION
34	3P7QK0GJ3TLBZUW2Q1G4DR9W0YY2ZV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_FINE_LOCATION	INTERNAL	-0.25	COMMUNICATION
35	3SCKNODZ0XGO46FPTPM5EVJV0O3N7H	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	READ_PHONE_STATE	SNS	0.25	COMMUNICATION
36	3VCK0Q0PO5EAMVF58Q1WZG98TM60NS	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	READ_PHONE_STATE	INTERNAL	-0.3	COMMUNICATION
37	3VGZ74AYTGGO6VTZX2HL4X2C0N9GCW	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_FINE_LOCATION	SNS	0.45	COMMUNICATION
38	3VW0145YLYCB6JVRIXW246Z4N51MJK	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	RECORD_AUDIO	INTERNAL	1.05	COMMUNICATION
39	3W0KKJIARR9RWEZ56HMV03YMIPD8KI	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.UCMobile.intl	ACCESS_COARSE_LOCATION	INTERNAL	0.15	COMMUNICATION
40	309D674SHZLSFELOHGP73MBFPBDBCD	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.acmdvp.myconverter	ACCESS_FINE_LOCATION	SECONDARY_MARKET	-0.65	TOOLS
41	3BFF0DJK8XC8IH41EO6SILLJHLTTS9	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	RECORD_AUDIO	SOCIAL_GAMING	0.3	CASUAL
42	3LAZVA75NIRZ0QIVOS5NXT2SKJDO2F	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	CAMERA	SOCIAL_GAMING	0.0	CASUAL
43	3LEG2HW4UFN5UD52PPMXAZTESITF2R	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aidigame.xcity	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.4	CASUAL
44	2CPWGKCCVLL3SQ0IIL1PX4C93KV5VY	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.alaskajim.whosingsit1990s	READ_PHONE_STATE	TARGETED_ADS	-0.7647058823529411	BRAIN
45	2WGQS1CSTMOFD7A70M31LYDNETBQN7	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.allocine.androidapp	ACCESS_FINE_LOCATION	INTERNAL	1.0	ENTERTAINMENT
46	2WT0HFL42J1LEL5Q36YM7IGF1RA1MO	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.allocine.androidapp	READ_PHONE_STATE	INTERNAL	0.7	ENTERTAINMENT
47	2OIG5R98D8J3BU4BOWKN5CG33MHEUC	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.alpha_aps.naked_scanner	READ_PHONE_STATE	TARGETED_ADS	-0.35	ENTERTAINMENT
48	2S4JTUHYW2GT5POP3WWWT169F2LPKB	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.alpha_aps.naked_scanner	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.9	ENTERTAINMENT
49	302OLP89DZ7NW4GWB2PB8BR97TNCAE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.kindle	AUTHENTICATE_ACCOUNTS	UTILITY	0.7	BOOKS_AND_REFERENCE
50	3ZTE0JGGCESCY8AXLLUT96BEWAXCOJ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.kindle	MANAGE_ACCOUNTS	UTILITY	0.95	BOOKS_AND_REFERENCE
51	3A3KKYU7P3HXC3VQPWFHTWTCTQUMWH	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.amazon.mp3	AUTHENTICATE_ACCOUNTS	UTILITY	0.4	MUSIC_AND_AUDIO
52	2NPD1X3V0FK0S4HHFISMEPKKPFSLEW	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.androcheck.facedet	CAMERA	INTERNAL	0.5882352941176471	PHOTOGRAPHY
53	3D1UCPY6GG9L0GRYLBUWJHHK73R837	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.android.chrome	ACCESS_FINE_LOCATION	INTERNAL	-0.2	COMMUNICATION
54	3L55D8AUFAXOSMEZR83RBX9G6V7CYN	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.android.chrome	MANAGE_ACCOUNTS	INTERNAL	1.3	COMMUNICATION
55	20WNLVWJ5OPBGESVVCPM3B7E6JPU2O	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.androp.cube.dolphin	READ_PHONE_STATE	TARGETED_ADS	0.0	CASUAL
56	2DABRI8IUB2YAP5YDWKLI3L0WLFH5C	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.animoca.prettyPetSalonSeasons	READ_PHONE_STATE	INTERNAL	0.4736842105263158	ARCADE
57	2GOR70G5R98DOZ0AABNSZTNYTQYRBJ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.animoca.prettyPetSalonSeasons	READ_PHONE_STATE	TARGETED_ADS	-0.3157894736842105	ARCADE
58	3K8CQCU3KE13ULGQ1XUH6BICYG3WNQ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.animocacollective.google.superstarFashionGirl	CAMERA	GAME_ENGINE	0.5263157894736842	CASUAL
59	32204AGAABCFN34FJUVMFOZSERLHG2	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	BLUETOOTH	INTERNAL	0.75	COMMUNICATION
60	3R5OYNIC2C9B5PO9M72YNGG8QC3PTO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	ACCESS_FINE_LOCATION	INTERNAL	0.95	COMMUNICATION
61	3S4TINXCC0NTO3IR7LYYYM5WA07BO3	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	SEND_SMS	INTERNAL	-0.8	COMMUNICATION
62	3S829FDFT219X9U3M8C0CPKPPPODXH	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	ACCESS_COARSE_LOCATION	INTERNAL	0.9	COMMUNICATION
63	3UEDKCTP9VQNW0UMWCUPM32R756K76	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	READ_CONTACTS	INTERNAL	0.2	COMMUNICATION
64	3VADEH0UHCXAQPBUX7X8DBKMOTPPSZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	CAMERA	INTERNAL	1.6	COMMUNICATION
65	3W0KKJIARR9RWEZ56HMV03YMIPCK8T	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	GET_ACCOUNTS	INTERNAL	0.95	COMMUNICATION
66	3X52SWXE0X5K3HJZC7L3Q0O0VN7CWO	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.antivirus	READ_PHONE_STATE	INTERNAL	0.35	COMMUNICATION
67	2A30XULRGNTBZJJ191WFW7N6JUE5RY	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.appmania.ironwars.hd	READ_PHONE_STATE	TARGETED_ADS	-0.1	ARCADE
68	2IFERSQV66RL5XF8ZLMWHVKIMWOB38	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.appmox.jgirl	READ_PHONE_STATE	TARGETED_ADS	-1.3	ENTERTAINMENT
69	2A79RA7S5WM1MPV7KJY0QMHLRSOZU1	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.appson.blobbyvolley	GET_ACCOUNTS	INTERNAL	0.3	ARCADE
70	2XXL6VCPWZ9R3TTXKZSSESN3U3BO9X	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.artofbytes.gravedefence.hd.free	READ_PHONE_STATE	TARGETED_ADS	-0.5	ARCADE
71	22IXULRGNTBJJ2JST96PEN621R7S6O	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.asobimo.celes_gp_en	READ_PHONE_STATE	INTERNAL	0.75	ARCADE
72	2ZZPCGJ2D21OJC2CD4APWSI218A5BK	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.asobimo.celes_gp_en	GET_ACCOUNTS	INTERNAL	0.6842105263157895	ARCADE
73	373L46LKP76GGVVOXLJMPT702PPJKD	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.aurum.google.aliceOfHeart	BLUETOOTH	GAME_ENGINE	1.15	CARDS
74	3G4VVJO6PZGC26YMSYO6MPTC7ZDKPE	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	READ_PHONE_STATE	INTERNAL	0.0	TOOLS
75	3GS542CVJVNOS0XC4MO3YAAF55Z95M	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	READ_CONTACTS	INTERNAL	1.0	TOOLS
76	3JUDR1D0D6R2L2VB35XRMYXSVVCQ2O	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	GET_ACCOUNTS	INTERNAL	0.5	TOOLS
77	3RIHDBQ1NEYFFD01UXTHSTJPADXHMA	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	SEND_SMS	INTERNAL	0.25	TOOLS
78	3S8APUMBJXJZIQ5Y8IF8BSWII7YBFF	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.avast.android.mobilesecurity	READ_CONTACTS	UTILITY	-0.25	TOOLS
79	33CLA8O0MIBMYXMN4F1YB71M0LKFRZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	SEND_SMS	INTERNAL	-0.1	SOCIAL
80	33IXYHIZB5IDOZ56UE2RSH8ECSOE20	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	ACCESS_FINE_LOCATION	INTERNAL	0.25	SOCIAL
81	33K3E8REWWVXGEYC501KQX6OE69X8T	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_PHONE_STATE	PAYMENT	0.25	SOCIAL
82	34O39PNDK68WLGA7ZDF2SHA1LNRBRC	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_CONTACTS	INTERNAL	-0.35	SOCIAL
83	3DW3BNF1GHI5CPTH5L022C93YNJ8V3	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	GET_ACCOUNTS	INTERNAL	0.85	SOCIAL
84	3HFWPF5AK9J3J067Z90108HLJXXS3Q	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_PHONE_STATE	INTERNAL	-0.05	SOCIAL
85	3O0M2G5VC626WHTCQH5TTI415HN49B	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.5	SOCIAL
86	3P6ENY9P79WTJUAA9IVP00C8TCWHIT	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	SEND_SMS	PAYMENT	0.0	SOCIAL
87	3UAU495MIIS8K2RX7CFT3CXKZTWOUV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	-0.15	SOCIAL
88	3UL5XDRDNCJOEVE2ZUIPYEF4LZI85X	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	CAMERA	INTERNAL	1.05	SOCIAL
89	3XQ4XW3OD9CEYIAOV9MWHYCTDJXS2F	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.badoo.mobile	ACCESS_COARSE_LOCATION	INTERNAL	0.5	SOCIAL
90	3HRWUH63QU29H2165W78GB5ZAUH5NI	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	ACCESS_FINE_LOCATION	INTERNAL	0.4	COMMUNICATION
91	3OCZWXS7ZO7JT2YLTJRT3J1A5ZH5LG	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	RECORD_AUDIO	INTERNAL	1.25	COMMUNICATION
92	3SBX2M1TKDNCOGAY7JGFFDUQF98Q4K	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	READ_CONTACTS	INTERNAL	0.85	COMMUNICATION
93	3UUSLRKAUL3FIUOC4V82IQ71NWAD7N	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	CAMERA	INTERNAL	1.5	COMMUNICATION
94	3ZG552ORAM4UQARSP4R1SLW0CNS2VV	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	AUTHENTICATE_ACCOUNTS	INTERNAL	0.6	COMMUNICATION
95	3ZUE82NE0A1GGS7R56VYKQ6HATW8FG	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bbm	GET_ACCOUNTS	INTERNAL	1.0	COMMUNICATION
96	2C88H88MQU6LL48A8MSR4X4AZTBTA4	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.berobo.android.scanner	READ_PHONE_STATE	TARGETED_ADS	-0.45	ENTERTAINMENT
97	2LTLYHVI44OSI0I94HEE6SBA6F83X2	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.berobo.android.scanner	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.2631578947368421	ENTERTAINMENT
98	2M998D8J3VE7C8P8J23GAMCKPKQHXN	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.berobo.android.scanner	READ_PHONE_STATE	INTERNAL	0.7	ENTERTAINMENT
99	3MZ3TAMYTLN68OOD5N7JE4EEGLTRIZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bestcoolfungames.antsmasher	RECORD_AUDIO	TARGETED_ADS	-1.35	ARCADE
100	3WYZV0QBFJDGICWJ8CLUHZWPMCUXBS	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bestcoolfungames.antsmasher	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.8	ARCADE
101	2NJ8N46UXFCDKLURAXEDZNTKZXZRTA	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bigbluebubble.fatfree	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.1875	ARCADE
102	2PFMB3Q39Z0BMAQ32XVE2STV8UCUJC	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bigbluebubble.fatfree	READ_PHONE_STATE	TARGETED_ADS	-0.1875	ARCADE
103	2UVP8PJWKUDDODJQZUU960B6B3JJ8K	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bigbluebubble.fatfree	READ_PHONE_STATE	INTERNAL	0.8666666666666667	ARCADE
104	2CEAVKI62NJQIH4HVD0QO6BK166KS3	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.bighand.android	READ_PHONE_STATE	INTERNAL	0.2	PRODUCTIVITY
105	2ZO2NJQ2172ZPPNW2FBLJVEBAVEPXH	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.bighand.android	RECORD_AUDIO	INTERNAL	1.6551724137931034	PRODUCTIVITY
106	298V66RLPHITJXSB6ZBID2NJ7CY7FK	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.binomed.showtime	ACCESS_FINE_LOCATION	INTERNAL	1.0	ENTERTAINMENT
107	2QC8P9Y38TWWDY07Q29M7JTAXX2IZD	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.blue.fox.scannerradio	READ_PHONE_STATE	INTERNAL	0.8	NEWS_AND_MAGAZINES
108	23OIAA2SEIUUAGX3MOBABIISP2XOOB	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bobgame.chickenrun2	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.25	ARCADE
109	2DNXH0JPPSI20EB4HWG7CKLMN6GNH9	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bodyfitness.health.bnht	READ_PHONE_STATE	TARGETED_ADS	-0.15	ENTERTAINMENT
110	2BU26DG67D1XJBXUG43OR2JEIW4F8F	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.breakapps.breakdotcom	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.3157894736842105	ENTERTAINMENT
111	2A3B3L0FBJ9I4RGTFV5VL5RP7WMMYD	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.bruellaffe	READ_PHONE_STATE	INTERNAL	-0.5	MUSIC_AND_AUDIO
112	20R2NJKM05BMZ9RWU0TG0P9RQ1TGBL	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.burrotech.scan2pdf	CAMERA	INTERNAL	1.25	TOOLS
113	207PSI2KYEPL854KGPD63J3ORRNSMZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.buzztime.android.mobileplaymaker	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	0.2	ENTERTAINMENT
114	3KI0JD2ZU1IGXL9XU80OCKX9AZ676Q	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.c4mprod.ezcodescanner	CAMERA	GAME_ENGINE	0.8	ARCADE
115	32204AGAABCFN34FJUVMFOZSIG5HG4	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.catstudio.zuma1	RECORD_AUDIO	GAME_ENGINE	-0.3	CASUAL
116	3G4VVJO6PZGC26YMSYO6MPTCBOWPKK	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.cento.gates.main	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.45	BRAIN
117	2CUNHMVHVKCJGHYZYBVJE9KQDGY35S	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.cipsoft.tibiame	READ_PHONE_STATE	INTERNAL	0.7368421052631579	ARCADE
118	2581SNQQ7Q67GLY5GGER82TQSVX9TC	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.cisco.anyconnect.vpn.android.rooted	READ_PHONE_STATE	INTERNAL	0.125	BUSINESS
119	3SCKNODZ0XGO46FPTPM5EVJV10C7NZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.cleanmaster.mguard	READ_PHONE_STATE	INTERNAL	-0.4	TOOLS
120	2LOUXFCD45XCU9KSORKKPN3TWJFXVA	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.clinkybot.geodroid0	ACCESS_FINE_LOCATION	INTERNAL	1.6666666666666667	TOOLS
121	20CNU8LZ6R70WLOO4HZJAVE7D2P5L8	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.codemonkey.titanturret	READ_PHONE_STATE	INTERNAL	0.1	ARCADE
122	2J5JQ2172Z996X3QGP3VLBU1KTLRZQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.codemonkey.titanturret	READ_PHONE_STATE	TARGETED_ADS	-0.1	ARCADE
123	2VTDPGFL6VCPCF66JHNIVV1SO2KK5K	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.codingcaveman.SoloTrial	READ_PHONE_STATE	TARGETED_ADS	-0.1176470588235294	ENTERTAINMENT
124	214T6YTWX4H3XIMQ0H09NI6I016X2J	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.caligofree	READ_PHONE_STATE	INTERNAL	0.8	ARCADE
125	2JZECWA6X3YOSSCF8TWK4PTI4SEMNG	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.caligofree	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	0.0	ARCADE
126	27G2RCJK63ZVUJE6WOLIHQ9J2FM7WG	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	INTERNAL	0.5555555555555556	ARCADE
127	2H6UQIHPCGJ2TIY3Z0WXO0JP62E71I	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.com2us.imo.normal.freefull.google.global.android.common	READ_PHONE_STATE	TARGETED_ADS	-0.1875	ARCADE
