,hitid,hittypeid,workerid,packageName,permission,purpose,comfortScore,1,2,3,4,5
27,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1U43ACI9M84MZ,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,0.29547445887066304,0.3936831142703331,0.3936831142703331,-0.4502923976600001,-1.0
28,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1K3C8R6GW43CW,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
29,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A6IVYRP8FAIS,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-1,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
30,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2YTOX7SEDJ1TC,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,0.29547445887066304,0.3936831142703331,0.3936831142703331,-0.4502923976600001,-1.0
31,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1CO67KW9NQ5NV,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
32,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1VS2PFZRWWPO3,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
33,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3HFWLGG0K527B,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,1,0.28804993353028135,0.3936831142703331,0.125,-1.0,-1.0
34,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AST33WVZ5QC05,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,-2,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
35,24XSVGULF3958C32C56SANYN0LTAOY,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A3LXRZZ3GV0LRD,air.couk.hamzagames.ultimatesmasher,READ_PHONE_STATE,TARGETED_ADS,2,0.24501735451864098,0.135529211684,0.135529211684,-0.7040816326530003,-0.7040816326530003
36,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AIUKV0KVALMY6,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,2,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
37,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,APROFW08F7Z34,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-2,0.34937651227083033,0.17281335611099993,-0.17543859648999996,-0.4897959183669998,-1.0
38,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2DWQF4ZHHBLOW,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,1,0.22031165345697626,-0.769230769231,-0.769230769231,-1.0,-1.0
