name,purpose,website
aviary,UTILITY,http://www.aviary.com/
ccil,UTILITY,http://ccil.org/~cowan/XML/tagsoup/
codegist,UTILITY,http://www.codegist.org/
codehaus,UTILITY,http://www.codehaus.org/
db4o,UTILITY,http://www.db4o.com/
dom4j,UTILITY,http://dom4j.sourceforge.net/
fmod,UTILITY,http://www.fmod.org/
github,UTILITY,https://github.com/
hamcrest,UTILITY,http://code.google.com/p/hamcrest/
helllabs,UTILITY,http://helllabs.org/
htmlcleaner,UTILITY,http://htmlcleaner.sourceforge.net/
ideaworks3d,UTILITY,http://www.ideaworks3d.com/
ImageViewSvg,UTILITY,http://code.google.com/p/image-view-svg/
imagezoom,UTILITY,N/A
inapp,UTILITY,http://www.inapp.com/
j256,UTILITY,http://ormlite.com/javadoc/ormlite-core/overview-summary.html
jdom,UTILITY,http://www.jdom.org/
joda,UTILITY,http://joda.sourceforge.net/
jsoup,UTILITY,http://jsoup.org/
junit,UTILITY,http://www.junit.org/
kawa,UTILITY,http://www.gnu.org/software/kawa/
kobjects,UTILITY,http://kobjects.sourceforge.net/
ksoap2,UTILITY,http://ksoap2.sourceforge.net/
kxml2,UTILITY,http://kxml.sourceforge.net/
lgpl,UTILITY,http://www.gnu.org/licenses/lgpl-2.1.html
libsvg,UTILITY,https://launchpad.net/libsvg-android
loopj,UTILITY,http://loopj.com/
Maps,UTILITY,https://maps.google.com/
mcsoxford,UTILITY,https://github.com/ahorn/android-rss
metalev,UTILITY,http://code.google.com/p/android-multitouch-controller/source/browse/demo/MTPhotoSortr/src/org/metalev/?r=29ef55220d991fd43d3567b70d5a2dc984739c1c#metalev
microsoft,UTILITY,http://msdn.microsoft.com/en-us/library/live/hh875196.aspx
motorola,UTILITY,N/A
mozilla,UTILITY,http://www.mozilla.org/en-US/mobile/
mp3,UTILITY,N/A
nostra13,UTILITY,https://github.com/nostra13
nullwire,UTILITY,http://code.google.com/p/android-remote-stacktrace/
oauth,UTILITY,http://oauth.net/
objenesis,UTILITY,http://code.google.com/p/objenesis/
onbarcode,UTILITY,http://www.onbarcode.com/
openxmlformats,UTILITY,N/A
osmdroid,UTILITY,http://code.google.com/p/osmdroid/
phonegap,UTILITY,http://phonegap.com/
proguard,UTILITY,http://proguard.sourceforge.net/
push,UTILITY,N/A
restlet,UTILITY,http://www.restlet.org/
roboguice,UTILITY,http://code.google.com/p/roboguice/
RssFeed,UTILITY,N/A
RssFeedItem,UTILITY,N/A
samsung,UTILITY,N/A
samsungapps,UTILITY,N/A
